;Adresas;Kaina;Kaina_uz_m2;Plotas;Kambariu_skaicius
180;Trakų m., Linksmoji g.;81500;1990;40.95;2.0
181;Vilnius, Lazdynėliai, Lazdynėlių g.;192900;3445;56.0;3.0
182;Vilnius, Naujamiestis, T. Ševčenkos g.;95000;4556;20.85;2.0
183;Klaipėda, Centras, Kauno g.;83000;2184;38.0;2.0
184;Vilnius, Naujamiestis, Eglių g.;138000;3804;36.28;1.0
185;Kauno r. sav., Purviškių k., Lazduonos g.;7600;141;54.0;2.0
186;Kretingos m., V. Kudirkos g.;49500;1231;40.22;1.0
187;Vilnius, Naujamiestis, Savanorių pr.;285000;6196;46.0;2.0
188;Akmenės r. sav., Naujosios Akmenės m., Nepriklausomybės al.;26000;565;46.0;2.0
189;Palanga, Vanagupės g.;155000;3946;39.28;1.0
190;Palanga, Šventoji, Mėguvos g.;109999;2275;48.35;2.0
191;Kaunas, Aleksotas, Bitininkų g.;289999;3671;79.0;3.0
192;Vilnius, Pašilaičiai, Eitminų g.;165000;2686;61.44;3.0
193;Kaunas, Senamiestis, Šv. Gertrūdos g.;255000;2260;112.81;3.0
194;Druskininkų m., Veisiejų g.;81000;1136;71.3;3.0
195;Kaunas, Šilainiai, J. Grušo g.;91000;2459;37.0;1.0
196;Širvintų m., Zibalų g.;25000;1058;23.63;1.0
197;Klaipėda, Centras, J. Zauerveino g.;265000;3136;84.5;3.0
198;Vilnius, Naujamiestis, Mindaugo g.;430000;5890;73.0;3.0
199;Vilnius, Naujamiestis, Vinco Kudirkos g.;287000;3706;77.45;3.0
200;Rietavo m., Daržų g.;89900;1404;64.01;3.0
201;Neringos m., Vilų g.;110000;7161;15.36;1.0
202;Utenos m., Aukštakalnis, Aukštakalnio g.;155000;2686;57.7;2.0
203;Kaunas, Rokai, Girmuonio g.;91000;1287;70.69;4.0
204;Klaipėda, Žvejybos uostas, Minijos g.;95000;2111;45.0;2.0
205;Kaunas, Dainava, Partizanų g.;69500;1565;44.4;2.0
206;Vilnius, Šeškinė, Fabijoniškių g.;199000;3980;50.0;2.0
207;Vilnius, Žemieji Paneriai, Vaduvos g.;78000;1926;40.5;1.0
208;Kėdainių m., Sodų g.;23000;688;33.45;2.0
209;Kaunas, Žaliakalnis, P. Višinskio g.;72000;2118;34.0;2.0
210;Kėdainių m., Pavasario g.;52000;1042;49.9;2.0
211;Visagino m., Taikos pr.;19900;552;36.08;1.0
212;Šiauliai, Rėkyva, Energetikų g.;62000;1161;53.42;2.0
213;Klaipėda, Žvejybos uostas, Minijos g.;16500;807;20.44;1.0
214;Elektrėnų m., Šviesos g.;89500;1462;61.2;3.0
215;Širvintų m., Kalnalaukio g.;53000;1023;51.82;2.0
216;Vilnius, Pilaitė, I. Simonaitytės g.;196000;2781;70.48;2.0
217;Kaišiadorių r. sav., Pravieniškių k., Pravieniškių g.;24700;682;36.2;1.0
218;Šilutės r. sav., Armalėnų k., Plytinės g.;28000;490;57.16;3.0
219;Kelmės m., J. Janonio g.;50000;1000;50.0;2.0
220;Švenčionių r. sav., Pabradės m., Arnionių g.;55000;1082;50.81;3.0
221;Palanga, Palanga, Užkanavės g.;275000;5896;46.64;3.0
222;Vilnius, Justiniškės, Rygos g.;109000;2124;51.33;2.0
223;Elektrėnų m., Sodų g.;55800;1250;44.63;2.0
224;Elektrėnų m., Sodų g.;65800;1161;56.69;3.0
